facebook.com,173.252.110.27
youtube.com,74.125.225.195
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.152.201
msn.com,65.55.206.228
baidu.com,123.125.114.144
blogspot.com,74.125.142.191
microsoft.com,65.55.58.201
qq.com,125.39.127.22
taobao.com,101.226.178.41
bing.com,131.253.13.32
sina.com.cn,202.108.33.60
soso.com,61.135.167.27
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.7
mozilla.com,63.245.217.20
youku.com,211.151.146.209
sdjjdsaf.com,
andysayler.com,208.97.176.21
wmfo.org,69.163.231.52
